STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  215,20141118,   69,   39,   39,   60,    9,   20,   23,  100,    8,   81,   76,    7,   90,    1,   65,    6,    0,    0,   99,    7,    2,    1,   10,10117,10152,   24,10086,    1,   39,   10,   60,    1,    8,   90,   94,    3,   86,   24,    1
  215,20141119,   90,   21,   23,   30,    1,   10,    9,   60,    1,   82,   63,   24,   91,   12,   55,   24,    0,    0,   86,    0,    0,    0,    1,10214,10263,   24,10155,    1,   47,    5,   61,   10,    8,   89,   92,   17,   84,   10,    1
  215,20141120,  108,   33,   34,   50,   24,   20,    1,   80,   21,   70,   64,    1,   76,   11,   56,    6,    0,    0,  122,    0,    0,    0,    1,10267,10275,   10,10259,   24,   40,   22,   56,    3,    8,   88,   91,    1,   85,    3,    2
  215,20141121,   96,   40,   41,   50,   13,   30,    2,   80,   13,   55,   25,    8,   79,   15,   15,   12,   67,   79,  459,    0,   -1,   -1,   22,10217,10256,    1,10181,   23,   40,    8,   63,   15,    3,   86,   92,    5,   79,   12,    6
  215,20141122,  137,   29,   31,   50,    9,   10,   16,   90,    9,   83,   44,    4,  125,   14,   38,    6,   38,   45,  378,    0,   -1,   -1,    6,10165,10179,    1,10157,   13,   56,   24,   65,   11,    7,   89,   96,   24,   78,   12,    5
  215,20141123,  198,    4,   33,   70,   20,   20,    1,  110,   20,  109,   82,    8,  140,   13,   72,   12,   28,   33,  330,   53,   46,   13,   23,10155,10178,   24,10134,   15,   41,    8,   66,   13,    7,   91,   97,    4,   80,   13,    5
  215,20141124,  293,   19,   24,   40,    2,    0,   23,   90,    3,   63,    3,   24,  111,   11,  -15,   24,   47,   56,  365,   16,   20,    8,    3,10248,10276,   22,10187,    1,    4,   23,   80,   10,    3,   84,   99,   21,   68,   10,    5
  215,20141125,   84,   28,   30,   60,   16,    0,    3,   90,   14,   39,  -16,    8,   86,   14,  -29,   12,   30,   36,  310,    0,    0,    0,    1,10238,10270,    1,10190,   24,    3,    4,   70,   16,    4,   91,   99,    4,   81,   16,    4
  215,20141126,  109,   46,   47,   60,    2,   30,   21,  100,   10,   50,   30,    5,   62,   24,   23,    6,    2,    2,  196,   11,   11,    8,   20,10137,10182,    1,10096,   24,    7,   24,   60,    2,    6,   89,   99,   24,   82,   12,    2
  215,20141127,  123,   41,   42,   50,    8,   30,    2,   80,   18,   74,   62,    1,   88,   13,   62,    6,    0,    0,  103,   32,   10,    4,   16,10069,10092,    1,10057,   15,    9,    4,   58,   13,    8,   95,   99,    4,   90,   13,    1
  215,20141128,  105,   59,   60,   70,    7,   50,    1,  110,    7,   67,   44,   24,   92,   14,   41,   24,    3,    4,  168,    0,    0,    0,    1,10084,10120,   24,10060,    1,   17,    7,   60,   14,    7,   87,   97,    7,   81,   14,    2
  215,20141129,  105,   49,   50,   70,    3,   30,    6,  110,    5,   31,   13,    6,   57,   13,    4,    6,   63,   77,  386,    0,    0,    0,    1,10142,10158,   20,10122,    1,   16,   24,   58,   13,    4,   88,   96,   24,   80,   12,    5
  225,20141115,  179,   18,   37,   60,   16,   10,    6,  100,   16,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141116,  210,   30,   44,   80,   19,   10,    8,  100,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141117,  107,   42,   44,   50,   11,   40,    1,   80,   11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141118,   78,   75,   75,  100,    7,   50,   20,  130,    8,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141119,  100,   29,   30,   50,    1,   10,   20,   80,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141120,  108,   32,   33,   50,   18,   20,    5,   80,   18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141121,   95,   55,   56,   80,   14,   30,    2,  100,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141122,  142,   41,   43,   60,    7,   30,   16,  100,    3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141123,  149,    6,   55,  110,   20,   20,    6,  150,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141124,  298,   55,   60,  100,    4,   20,   21,  140,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141125,   95,   51,   53,   90,   18,   20,    1,  120,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141126,  105,   58,   60,   90,    1,   40,   15,  120,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141127,  120,   44,   46,   60,   19,   30,   12,   90,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141128,   93,   92,   93,  120,   18,   50,    1,  160,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  225,20141129,  101,   62,   63,  100,    1,   20,   18,  130,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  235,20141115,  126,   30,   34,   50,   13,   10,   22,   90,   13,   96,   87,   19,  108,   21,   67,   24,    5,    6,  125,   35,   64,   25,    6,10012,10035,    1, 9991,   14,   11,    3,   65,   21,    8,   97,   98,    1,   94,   15,    2
  235,20141116,  156,   15,   21,   60,   21,    0,    4,   90,   23,   89,   74,    3,  105,   13,   59,    6,    0,    0,   86,  166,  127,   16,   20, 9997,10020,    1, 9975,   16,   15,    3,   65,   13,    8,   98,   98,    2,   97,    1,    1
  235,20141117,  108,   41,   43,   50,    2,   20,   23,   90,   10,   94,   70,   23,  112,   14,   52,   24,   33,   38,  338,    0,   -1,   -1,    1,10052,10096,   23,10000,    1,   30,    1,   70,   12,    7,   94,   98,    1,   85,   14,    5
  235,20141118,   73,   53,   53,   80,    5,   20,   22,  120,    6,   80,   69,    9,   93,    2,   63,   24,    5,    6,  127,    0,    0,    0,    1,10126,10156,   24,10098,    1,   31,    8,   60,    1,    6,   94,   97,    6,   88,   13,    2
  235,20141119,   95,   30,   30,   50,    2,   10,   22,   80,    2,   79,   73,   24,   90,    2,   70,   12,    5,    6,  176,    0,    0,    0,    1,10217,10268,   24,10161,    1,   46,    2,   64,   13,    8,   91,   98,    7,   85,   13,    2
  235,20141120,  119,   29,   32,   50,   21,   10,    1,   80,   21,   72,   57,    7,   84,   11,   49,   12,    0,    0,  182,    0,    0,    0,    1,10272,10279,   10,10267,    1,   50,    7,   59,    1,    8,   89,   93,    7,   82,   12,    2
  235,20141121,  110,   50,   51,   60,   11,   30,    2,  100,   18,   61,   43,    8,   73,   14,   34,   12,   69,   82,  486,    0,    0,    0,    1,10226,10260,    1,10187,   24,   50,    6,   65,   11,    5,   88,   93,    7,   81,   11,    6
  235,20141122,  141,   38,   40,   60,    4,   20,   15,  100,    7,   77,   54,    7,  100,   15,   52,    6,   15,   18,  253,    6,    2,    1,    7,10166,10189,    1,10154,   12,   50,   24,   60,   12,    8,   93,   98,   24,   88,   12,    3
  235,20141123,  199,   11,   37,   70,   19,   20,    1,  120,   19,  102,   78,    1,  127,   13,   68,    6,   17,   20,  275,   76,   86,   20,   22,10151,10169,    1,10126,   17,   36,   18,   70,   24,    7,   95,   98,    1,   88,   24,    4
  235,20141124,  292,   35,   36,   60,    4,    0,   22,  110,    4,   83,   29,   24,  112,   12,   -6,   24,   38,   46,  322,   15,   15,   10,    1,10239,10274,   23,10177,    1,   57,   24,   80,    4,    3,   80,   98,   24,   65,    4,    4
  235,20141125,   95,   29,   33,   70,   24,   10,    1,   90,   19,   55,   19,    4,   83,   14,  -14,    6,   41,   50,  304,    0,    0,    0,    1,10248,10270,    1,10207,   24,    6,    3,   70,   14,    5,   96,  100,    3,   90,   14,    4
  235,20141126,  114,   65,   66,   80,    4,   50,   19,  120,    4,   52,   44,    7,   59,    1,   37,   12,    2,    2,  210,    8,    2,    2,   23,10148,10199,    1,10102,   24,   17,   24,   61,   16,    8,   89,   98,   23,   83,   16,    3
  235,20141127,  121,   48,   50,   60,   15,   40,    3,   90,   14,   65,   51,    1,   80,   13,   51,    6,    0,    0,  117,   26,    7,    2,   17,10075,10094,    1,10064,   15,    7,    5,   58,   12,    8,   96,  100,    5,   92,   14,    2
  235,20141128,  101,   76,   76,   90,   21,   60,    1,  140,   24,   52,   35,   24,   61,   15,   31,   24,   12,   15,  219,     ,     ,     ,     ,10101,10135,   24,10072,    2,   33,    8,   57,   14,    8,   90,   98,    8,   85,   16,    3
  235,20141129,  104,   66,   67,   90,    1,   40,   19,  130,    1,   28,   22,   23,   37,   13,   17,   18,   23,   29,  279,    0,    0,    0,    1,10154,10165,   18,10135,    1,   34,   23,   56,    1,    5,   91,   95,   23,   86,    1,    3
  240,20141115,  153,   18,   28,   40,   14,   10,    6,   70,   15,   95,   67,   23,  108,   14,   53,   24,    0,    0,   91,   70,   95,   34,    6,10013,10034,    1, 9992,   13,   24,   15,   65,   17,    8,   97,   98,    1,   92,   17,    1
  240,20141116,  207,   18,   26,   50,   20,    0,    4,   60,   13,   86,   68,    5,  100,   14,   57,    6,    0,    0,  108,  168,  100,    9,    8,10002,10022,    1, 9985,   16,   17,    5,   60,   16,    8,   98,   98,    1,   97,   14,    2
  240,20141117,  105,   39,   41,   50,    2,   20,   24,  100,   17,   96,   76,    4,  120,   12,   69,    6,   30,   34,  373,    1,    1,    1,    5,10047,10088,   24,10001,    1,   33,    1,   70,   11,    7,   91,   98,    1,   81,   13,    5
  240,20141118,   68,   43,   44,   60,    7,   30,    1,  100,    7,   81,   75,   11,   89,    1,   74,    6,    0,    0,  107,    0,   -1,   -1,   11,10118,10151,   23,10088,    1,   50,    8,   60,    2,    8,   93,   97,    3,   88,   19,    1
  240,20141119,   98,   19,   21,   40,    2,   10,    6,   60,    1,   81,   74,   24,   88,   11,   71,   24,    0,    0,   84,    0,    0,    0,    1,10215,10265,   24,10156,    1,   27,    7,   62,   11,    8,   94,   98,    6,   85,   11,    1
  240,20141120,  101,   30,   31,   50,    9,   20,    1,   70,    9,   71,   62,   24,   79,   13,   61,   24,    0,    0,  119,    0,    0,    0,    1,10270,10277,   10,10263,   24,   56,    7,   57,    1,    8,   90,   95,    3,   87,   14,    2
  240,20141121,   92,   40,   41,   60,   19,   30,    1,  100,   19,   57,   27,    6,   80,   14,   14,    6,   72,   85,  499,    0,    0,    0,    1,10221,10259,    1,10186,   24,   50,    4,   66,   15,    4,   83,   92,    4,   74,   15,    6
  240,20141122,  139,   34,   37,   60,   13,   20,   16,   80,    3,   83,   41,    2,  121,   15,   30,    6,   41,   48,  403,    2,    1,    1,    6,10167,10185,    1,10159,   13,   59,    6,   63,   12,    8,   88,   93,   24,   79,   12,    6
  240,20141123,  158,   15,   35,   50,   13,   20,    1,  110,   20,  106,   85,    8,  132,   14,   79,   12,   46,   55,  361,   47,   41,   16,   24,10155,10173,    2,10130,   17,   38,   22,   65,   20,    6,   92,   97,   22,   84,   12,    5
  240,20141124,  270,   21,   28,   40,    3,   10,    8,   70,    3,   73,   24,   24,  118,   13,   -2,   24,   46,   55,  401,   17,   17,   10,    2,10246,10275,   22,10181,    1,   59,    1,   75,    7,    4,   84,   97,   23,   71,   11,    5
  240,20141125,   87,   34,   34,   60,   18,   10,    1,   90,   18,   51,    8,    5,   88,   13,  -23,   12,   35,   42,  310,    0,    0,    0,    1,10242,10270,    1,10196,   24,   46,    6,   70,   15,    4,   90,   98,    3,   81,   15,    4
  240,20141126,  107,   51,   52,   60,    1,   40,   16,  100,    1,   51,   29,    6,   63,   17,   24,    6,    5,    6,  226,    6,    2,    2,   21,10142,10190,    1,10098,   24,    9,   24,   62,   17,    7,   87,   98,   24,   79,   14,    3
  240,20141127,  120,   41,   42,   50,   10,   40,    1,   80,   23,   74,   59,    1,   90,   13,   59,    6,    0,    0,  128,   31,   10,    3,   17,10073,10094,    1,10060,   15,   18,    1,   60,   12,    8,   93,   98,    1,   84,   14,    2
  240,20141128,   94,   52,   53,   60,   12,   40,    2,  110,   18,   65,   32,   24,   92,   14,   27,   24,   15,   18,  216,     ,     ,     ,     ,10091,10126,   24,10065,    1,   22,    6,   60,   13,    7,   87,   97,    6,   79,   18,    3
  240,20141129,   97,   46,   47,   70,    1,   30,   19,  110,    1,   30,   17,    7,   55,   14,   11,    6,   47,   58,  389,    0,    0,    0,    1,10148,10163,   20,10127,    1,   25,   24,   58,   12,    4,   87,   95,   24,   79,   13,    5
  242,20141115,  125,   46,   57,   80,   16,   30,   24,  110,   16,   96,   86,    8,  112,   24,   87,   12,     ,     ,     ,     ,     ,     ,     ,10015,10038,    1, 9992,   14,   16,    1,   70,   22,    8,   96,   98,    1,   83,   24,     
  242,20141116,  108,   21,   38,   80,   22,    0,    4,  110,   22,   92,   63,    4,  109,    1,   55,    6,     ,     ,     ,     ,     ,     ,     , 9998,10020,    2, 9977,   16,   19,   15,   68,    1,    8,   96,   98,    7,   86,    1,     
  242,20141117,  109,   63,   65,   80,    1,   40,   15,  110,    3,   92,   86,    1,  113,   13,   82,   24,     ,     ,     ,     ,     ,     ,     ,10056,10100,   23,10002,    1,   24,    4,   70,   12,    7,   94,   97,    2,   87,   13,     
  242,20141118,   78,   66,   67,  100,    6,   40,   16,  130,    5,   82,   65,    9,   90,   13,   64,   24,     ,     ,     ,     ,     ,     ,     ,10129,10160,   24,10101,    1,   24,    8,   63,   20,    7,   92,   97,    5,   85,   13,     
  242,20141119,  123,   37,   43,   60,    1,   20,   23,   90,    1,   80,   61,   18,   99,   12,   51,   18,     ,     ,     ,     ,     ,     ,     ,10219,10266,   24,10162,    1,   45,    1,   70,   12,    7,   87,   95,    1,   74,   12,     
  242,20141120,  138,   31,   33,   50,   18,   20,    1,   70,   19,   74,   60,    4,   92,   11,   52,    6,     ,     ,     ,     ,     ,     ,     ,10273,10281,   10,10266,    3,   39,    5,   62,    2,    7,   87,   93,    3,   79,   14,     
  242,20141121,  118,   79,   80,  110,   19,   50,    1,  130,   18,   59,   45,    6,   75,   14,   41,    6,     ,     ,     ,     ,     ,     ,     ,10229,10263,    1,10187,   24,   56,    5,   75,   12,    5,   84,   89,    5,   77,   11,     
  242,20141122,  141,   72,   75,  100,    1,   40,   21,  130,    1,   71,   49,    3,   89,   22,   48,    6,     ,     ,     ,     ,     ,     ,     ,10166,10191,    1,10155,   12,   38,   24,   58,    1,    8,   92,   97,   20,   89,    1,     
  242,20141123,  211,   11,   63,  120,   20,   40,    1,  150,   19,   93,   76,    1,  111,   18,   73,    6,     ,     ,     ,     ,     ,     ,     ,10151,10170,    2,10128,   17,   28,    3,   61,   24,    8,   95,   98,    1,   88,   24,     
  242,20141124,  297,   73,   75,  110,    3,   20,   24,  150,    1,   96,   81,   24,  114,   12,   54,   24,     ,     ,     ,     ,     ,     ,     ,10235,10271,   23,10170,    1,   56,   22,   73,   11,    4,   76,   90,    1,   64,    5,     
  242,20141125,  110,   30,   39,   90,   23,   10,    3,  110,   22,   62,   14,    8,   89,   10,    0,   12,     ,     ,     ,     ,     ,     ,     ,10250,10269,    9,10212,   24,    7,    6,   70,   10,    6,   95,   99,    6,   89,   13,     
  242,20141126,  116,   99,  100,  120,    4,   80,   18,  150,    4,   48,   38,    7,   55,    1,   33,   12,     ,     ,     ,     ,     ,     ,     ,10151,10204,    1,10104,   24,   25,   24,   62,   12,    7,   88,   97,   24,   83,   12,     
  242,20141127,  123,   85,   87,  100,   23,   80,    8,  120,    1,   56,   45,   24,   68,   13,   45,   24,     ,     ,     ,     ,     ,     ,     ,10078,10096,    1,10068,   14,   12,    3,   57,   11,    8,   95,   98,    3,   89,   13,     
  242,20141128,  108,  111,  112,  130,   20,   90,    1,  160,   20,   44,   31,   24,   61,   14,   30,   24,     ,     ,     ,     ,     ,     ,     ,10104,10139,   24,10077,    1,   46,    1,   58,   15,    8,   86,   95,    1,   81,   23,     
  242,20141129,  111,   91,   92,  120,    1,   70,   19,  150,    1,   21,   12,   20,   32,   13,   12,   24,     ,     ,     ,     ,     ,     ,     ,10157,10168,    9,10141,    2,   33,   23,   56,    1,    6,   88,   93,   23,   85,    1,     
  249,20141115,  127,   29,   35,   50,   11,   20,    1,   80,   13,   93,   76,   23,  103,   16,   67,   24,    0,    0,  122,   48,   53,   23,    6,     ,     ,     ,     ,     ,   19,    1,   63,   22,     ,   97,   98,    1,   92,   12,    2
  249,20141116,  211,   15,   25,   50,   20,    0,    2,   70,   16,   83,   59,    4,   98,   13,   53,    6,    0,    0,   75,  175,  224,   36,   15,     ,     ,     ,     ,     ,    3,    3,   61,   17,     ,   98,   99,    2,   96,   21,    1
  249,20141117,  107,   43,   45,   50,    1,   30,   22,   80,    8,   93,   67,   23,  111,   12,   53,   24,   26,   30,  339,    0,    0,    0,    1,     ,     ,     ,     ,     ,   32,    3,   70,   11,     ,   91,   97,    3,   84,   14,    5
  249,20141118,   68,   43,   45,   60,    5,   20,   21,   90,    5,   77,   69,   10,   84,    2,   67,   24,    0,    0,   92,    0,    0,    0,    1,     ,     ,     ,     ,     ,   43,    8,   58,    2,     ,   92,   96,    1,   88,   16,    1
  249,20141119,   86,   24,   26,   40,    9,   20,    1,   60,    6,   77,   73,   18,   84,    1,   71,   12,    0,    0,   92,    0,    0,    0,    1,     ,     ,     ,     ,     ,   46,    4,   63,   15,     ,   92,   95,    3,   88,   14,    1
  249,20141120,  112,   31,   33,   50,   22,   10,    3,   70,   10,   72,   63,   24,   81,   11,   61,   24,    0,    0,  150,    0,    0,    0,    1,     ,     ,     ,     ,     ,   37,    1,   59,   22,     ,   89,   97,    2,   83,   10,    2
  249,20141121,  105,   52,   53,   70,   19,   30,    2,  110,   19,   63,   46,    7,   77,   13,   36,   12,   72,   85,  498,    0,    0,    0,    1,     ,     ,     ,     ,     ,   50,    5,   65,   13,     ,   85,   89,    5,   81,   13,    7
  249,20141122,  140,   43,   45,   70,    4,   20,   20,  100,    1,   81,   56,    4,  116,   14,   50,    6,   25,   30,  322,    3,    1,    1,    8,     ,     ,     ,     ,     ,   57,    8,   62,   14,     ,   89,   94,   24,   84,   14,    4
  249,20141123,  181,   14,   37,   70,   20,   20,    1,  130,   20,  102,   82,    1,  126,   13,   73,    6,   34,   41,  334,   53,   39,   11,   22,     ,     ,     ,     ,     ,   43,    8,   65,   23,     ,   94,   97,    1,   87,   13,    5
  249,20141124,  265,   23,   27,   40,    4,   10,   22,   70,   11,   71,   21,   24,  110,   11,  -14,   24,   46,   55,  353,   15,   19,   11,    2,     ,     ,     ,     ,     ,    4,   24,   75,   10,     ,   87,   99,   24,   70,   12,    5
  249,20141125,   89,   32,   34,   70,   23,    0,    3,  120,   24,   48,    0,    8,   87,   13,  -25,    6,   52,   63,  345,    0,    0,    0,    1,     ,     ,     ,     ,     ,    0,    7,   70,   12,     ,   94,   99,    2,   85,   13,    4
  249,20141126,  115,   68,   69,   80,    1,   50,   20,  130,    9,   52,   41,    8,   59,   21,   35,   12,    2,    2,  236,   14,    4,    2,   20,     ,     ,     ,     ,     ,   31,   24,   61,   14,     ,   88,   97,   22,   82,   13,    3
  249,20141127,  120,   52,   54,   70,   22,   40,   13,  100,   20,   67,   58,    1,   80,   14,   54,   24,    0,    0,  125,   38,   11,    3,   16,     ,     ,     ,     ,     ,   13,    3,   59,   12,     ,   94,   98,    1,   89,   13,    2
  249,20141128,  100,   75,   75,  100,   20,   60,    1,  140,   20,   54,   32,   24,   65,   12,   27,   24,   12,   15,  238,     ,     ,     ,     ,     ,     ,     ,     ,     ,   31,    7,   58,   17,     ,   89,   96,    6,   82,   17,    3
  249,20141129,  107,   68,   68,  100,    2,   40,   20,  140,    2,   32,   26,    8,   42,   13,   19,   12,     ,     ,  339,    0,    0,    0,    1,     ,     ,     ,     ,     ,   39,   23,   57,    1,     ,   87,   92,   23,   84,    1,    4
  251,20141115,  116,   45,   48,   60,    7,   30,    1,   90,   16,   94,   86,    7,  100,   18,   85,   12,    0,    0,   87,   75,   41,   14,    7,10018,10040,    1, 9998,   14,   21,   10,   50,    3,     ,   96,   98,   22,   94,   12,    1
  251,20141116,  115,   26,   35,   70,   18,    0,    6,  110,   22,   91,   81,    4,  100,   12,   75,    6,    0,    0,   60,  173,  187,   37,    7,10000,10020,    1, 9980,   16,    2,    4,   59,   19,     ,   97,   99,    3,   94,   23,    1
  251,20141117,  103,   54,   56,   70,    3,   40,   14,   90,    3,   91,   81,   24,  109,   14,   75,   24,   34,   40,  330,    5,    1,    1,    1,10061,10105,   24,10010,    1,   25,    4,   69,   13,     ,   93,   96,    6,   88,   13,    5
  251,20141118,   76,   60,   61,   90,    6,   30,   19,  120,    6,   82,   58,   19,   93,   14,   40,   24,   10,   12,  234,    0,    0,    0,    1,10132,10161,   24,10107,    1,   16,    5,   62,   20,     ,   92,   97,    5,   88,   15,    3
